SYMBOL,NAME,SECTOR,STATUS
PECO,Pakistan Engineering Company Limited,ENGINEERING,Non Compliant
PGLC,Pak-Gulf Leasing Company Limited,LEASING COMPANIES,Compliant
PHDL,Pakistan Hotels Developers Limited,MISCELLANEOUS,Non Compliant
PIAHCLA,PIA Holding Company Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
PIAHCLB,PIA Holding Company LimitedB,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
PIBTL,Pakistan International Bulk Terminal,TRANSPORT,Compliant
PICL,Pakistan Industrial & Commercial Leasing,LEASING COMPANIES,Non Compliant
PICT,Pakistan International Container,TRANSPORT,Compliant
PIL,PICIC Insurance Limited,INSURANCE,Non Compliant
PIM,Popular Islamic Modaraba,MODARABAS,Compliant
PINL,Premier Insurance Limited,INSURANCE,Compliant
PIOC,Pioneer Cement Limited,CEMENT,Compliant
PKGI,The Pakistan General Insurance Co. Ltd.,INSURANCE,Compliant
PKGP,Pakgen Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
PKGS,Packages Limited,"PAPER, BOARD & PACKAGING",Compliant
PMRS,The Premier Sugar Mills,SUGAR & ALLIED INDUSTRIES,Compliant
PNSC,Pakistan National Shipping Corporation,TRANSPORT,Compliant
POL,Pakistan Oilfields Limited,OIL & GAS EXPLORATION COMPANIES,Compliant
POML,Punjab Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,Compliant
POWER,Power Cement Limited,CEMENT,Compliant
POWERPS,Power Cement (Pref),CEMENT,Compliant
PPL,Pakistan Petroleum Limited,OIL & GAS EXPLORATION COMPANIES,Compliant
PPP,Pakistan Paper Products Limited,"PAPER, BOARD & PACKAGING",Compliant
PPVC,Pakistan PVC Limited,CHEMICAL,Non Compliant
PREMA,At-Tahur Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
PRET,Premium Textile Mills Limited,TEXTILE SPINNING,Compliant
PRIB,Prudential Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Non Compliant
PRIC,Progressive Insurance Company Limited,INSURANCE,Non Compliant
PRL,Pakistan Refinery Limited,REFINERY,Compliant
PRWM,Prosperity Weaving Mills Limited,TEXTILE WEAVING,Compliant
PSEL,Pakistan Services Limited,MISCELLANEOUS,Compliant
PSO,Pakistan State Oil Company Limited,OIL & GAS MARKETING COMPANIES,Compliant
PSX,Pakistan Stock Exchange Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
PSYL,Pakistan Synthetics Limited,SYNTHETIC & RAYON,Compliant
PTC,Pakistan Telecommunication Company Ltd,TECHNOLOGY & COMMUNICATION,Compliant
PTL,Panther Tyres Ltd.,AUTOMOBILE PARTS & ACCESSORIES,Compliant
PUDF,Prudential Stocks Fund Limited,CLOSE - END MUTUAL FUND,Non Compliant
QUET,Quetta Textile Mills Limited,TEXTILE COMPOSITE,Non Compliant
QUICE,Quice Food Industries Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
RCML,Reliance Cotton Spinning Mills Limited,TEXTILE SPINNING,Compliant
REDCO,Redco Textiles Limited,TEXTILE COMPOSITE,Compliant
REGAL,Regal Ceramics Limited,GLASS & CERAMICS,Non Compliant
REWM,Reliance Weaving Mills Limited,TEXTILE COMPOSITE,Compliant
RICL,Reliance Insurance Company Limited,INSURANCE,Compliant
RMPL,Rafhan Maize Products Company Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
RPL,Roshan Packages Limited,"PAPER, BOARD & PACKAGING",Compliant
RUBY,Ruby Textile Mills Limited,TEXTILE SPINNING,Non Compliant
RUPL,Rupali Polyester Limited,SYNTHETIC & RAYON,Compliant
SAIF,Saif Textile Mills Limited,TEXTILE SPINNING,Compliant
SANE,Salman Noman Enterprises Limited,TEXTILE SPINNING,Non Compliant
SANSM,Sanghar Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
SAPT,Sapphire Textile Mills Limited,TEXTILE COMPOSITE,Compliant
SARC,Sardar Chemical Industries Limited,CHEMICAL,Compliant
SASML,Sindh Abadgars Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
SAZEW,Sazgar Engineering Works Limited,AUTOMOBILE ASSEMBLER,Compliant
SBL,Samba Bank Limited,COMMERCIAL BANKS,Compliant
SCBPL,Standard Chartered Bank (Pak) Ltd,COMMERCIAL BANKS,Compliant
SCHT,Schon Textiles Limited,TEXTILE COMPOSITE,Non Compliant
SCL,Shield Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
SDOT,Sadoon Textile Industries Limited,TEXTILE WEAVING,Non Compliant
SEARL,The Searle Company Limited,PHARMACEUTICALS,Compliant
SEL,Sitara Energy Limited,POWER GENERATION & DISTRIBUTION,Compliant
SEPL,Security Papers Limited,"PAPER, BOARD & PACKAGING",Compliant
SERT,Service Industries Textiles Limited,TEXTILE SPINNING,Compliant
SFAT,Safa Textiles Limited,TEXTILE COMPOSITE,Non Compliant
SFL,Sapphire Fibres Limited,TEXTILE COMPOSITE,Compliant
SGABL,SG.Allied Businesses Limited,SYNTHETIC & RAYON,Non Compliant
SGF,Service GlobalFootwear Limited,LEATHER & TANNERIES,Compliant
SGPL,S.G. Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
SHCI,Shaffi Chemical Industries Limited,CHEMICAL,Non Compliant
SHCM,Shadman Cotton Mills Limited,TEXTILE SPINNING,Compliant
SHDT,Shadab Textile Mills Limited,TEXTILE SPINNING,Compliant
SHEZ,Shezan International Limited,FOOD & PERSONAL CARE PRODUCTS,Compliant
SHFA,Shifa International Hospitals Limited,MISCELLANEOUS,Compliant
SHJS,Shahtaj Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
SHNI,Shaheen Insurance Company Limited,INSURANCE,Compliant
SHSML,Shahmurad Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Compliant
SIBL,Security Investment Bank Limited,INV. BANKS / INV. COS. / SECURITIES COS.,Compliant
SIEM,Siemens (Pakistan) Engineering,CABLE & ELECTRICAL GOODS,Compliant
SINDM,Sindh Modaraba,MODARABAS,Compliant
SITC,Sitara Chemical Industries Limited,CHEMICAL,Compliant
SKRS,Sakrand Sugar Mills Limited,SUGAR & ALLIED INDUSTRIES,Non Compliant
SLCL,Security Leasing Corporation Limited,LEASING COMPANIES,Non Compliant
SLCPA,Security Leasing Corp.9.10%(Pref),LEASING COMPANIES,Compliant
SLGL,Secure Logistics-Trax Group Limited,TRANSPORT,Compliant
SLL,SME Leasing Limited,LEASING COMPANIES,Non Compliant
SLYT,Sally Textile Mills Limited,TEXTILE SPINNING,Non Compliant
SMCPL,Safe Mix Concrete Limited,CEMENT,Compliant
SML,Shakarganj Limited,SUGAR & ALLIED INDUSTRIES,Non Compliant
SNAI,Sana Industries Limited,TEXTILE SPINNING,Compliant
SNBL,Soneri Bank Limited,COMMERCIAL BANKS,Compliant
SNGP,Sui Northern Gas Pipelines Limited,OIL & GAS MARKETING COMPANIES,Compliant
SPCL,Saudi Pak Consultancy Company Limited,LEASING COMPANIES,Non Compliant
SPEL,SPEL Limited,"PAPER, BOARD & PACKAGING",Compliant
SPL,Sitara Peroxide Limited,CHEMICAL,Non Compliant
SPWL,Saif Power Limited,POWER GENERATION & DISTRIBUTION,Compliant
SRVI,Service Industries Limited,LEATHER & TANNERIES,Compliant
SSGC,Sui Southern Gas Company Limited,OIL & GAS MARKETING COMPANIES,Compliant
SSIC,Silver Star Insurance Company Limited,INSURANCE,Non Compliant
SSML,Saritow Spinning Mills Limited,TEXTILE SPINNING,Non Compliant
SSOM,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,Compliant
STCL,Shabbir Tiles & Ceramics Limited,GLASS & CERAMICS,Compliant
STJT,Shahtaj Textile Limited,TEXTILE WEAVING,Compliant
STL,Supernet Technologies Limited,TECHNOLOGY & COMMUNICATION,Compliant
STML,Shams Textile Mills Limited,TEXTILE COMPOSITE,Compliant
STPL,Siddiqsons Tin Plate Limited,MISCELLANEOUS,Compliant
STYLERS,Stylers International Limited,TEXTILE COMPOSITE,Compliant
SUHJ,Suhail Jute Mills Limited,JUTE,Non Compliant
SURAJ,Suraj Ghee Industries Limited,VANASPATI & ALLIED INDUSTRIES,Non Compliant
SURC,Suraj Cotton Mills Limited,TEXTILE COMPOSITE,Compliant
SUTM,Sunrays Textile Mills Limited,TEXTILE SPINNING,Compliant
SWL,Standard Worldwide Limited,INSURANCE,Non Compliant
SYM,Symmetry Group Limited,TECHNOLOGY & COMMUNICATION,Compliant
SYS,Systems Limited,TECHNOLOGY & COMMUNICATION,Compliant
SZTM,Shahzad Textile Mills Limited,TEXTILE SPINNING,Compliant
TAJT,Taj Textile Mills Limited,TEXTILE COMPOSITE,Non Compliant
TATM,Tata Textile Mills Limited,TEXTILE SPINNING,Compliant
